person_id,人名,分类,正式称号,活动年号,生卒,字或号,建议资源文件名,提示词,风格,负面提示词,参考现有画像
wanguifei,万贵妃,内廷,贵妃,宣德,1430—1487,,portrait_wanguifei.png,为明代人物「万贵妃」绘制单人历史肖像。正式称号：贵妃；分类：内廷；活动年号：宣德；生卒：1430—1487。明代宫廷女性，着与正式称号相称的礼服、发饰与首饰，端庄静坐。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
fengbao,冯保,内廷,司礼监太监,万历,？—1583,,portrait_fengbao.png,为明代人物「冯保」绘制单人历史肖像。正式称号：司礼监太监；分类：内廷；活动年号：万历；生卒：？—1583。明代宦官，着内廷常服或礼服，神情克制，不使用戏曲化妆容。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
liujin,刘瑾,内廷,司礼监太监,正德,1451—1510,,portrait_liujin.png,为明代人物「刘瑾」绘制单人历史肖像。正式称号：司礼监太监；分类：内廷；活动年号：正德；生卒：1451—1510。明代宦官，着内廷常服或礼服，神情克制，不使用戏曲化妆容。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
wuxianfei,吴贤妃,内廷,贤妃,洪武,1397—1462,,portrait_wuxianfei.png,为明代人物「吴贤妃」绘制单人历史肖像。正式称号：贤妃；分类：内廷；活动年号：洪武；生卒：1397—1462。明代宫廷女性，着与正式称号相称的礼服、发饰与首饰，端庄静坐。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
sunhuanghou,孙皇后,内廷,皇后,建文,1401—1462,,portrait_sunhuanghou.png,为明代人物「孙皇后」绘制单人历史肖像。正式称号：皇后；分类：内廷；活动年号：建文；生卒：1401—1462。明代宫廷女性，着与正式称号相称的礼服、发饰与首饰，端庄静坐。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
xiaomujitaihou,孝穆纪太后,内廷,皇妃,成化,生卒未详,,portrait_xiaomujitaihou.png,为明代人物「孝穆纪太后」绘制单人历史肖像。正式称号：皇妃；分类：内廷；活动年号：成化；生卒：生卒未详。明代宫廷女性，着与正式称号相称的礼服、发饰与首饰，端庄静坐。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
keshi,客氏,内廷,奉圣夫人,万历,1580—1627,,portrait_keshi.png,为明代人物「客氏」绘制单人历史肖像。正式称号：奉圣夫人；分类：内廷；活动年号：万历；生卒：1580—1627。明代宫廷女性，着与正式称号相称的礼服、发饰与首饰，端庄静坐。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
zhangyufei,张裕妃,内廷,裕妃,万历,1606—1623,,portrait_zhangyufei.png,为明代人物「张裕妃」绘制单人历史肖像。正式称号：裕妃；分类：内廷；活动年号：万历；生卒：1606—1623。明代宫廷女性，着与正式称号相称的礼服、发饰与首饰，端庄静坐。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
xuhuanghou,徐皇后,内廷,皇后,永乐,1362—1407,,portrait_xuhuanghou.png,为明代人物「徐皇后」绘制单人历史肖像。正式称号：皇后；分类：内廷；活动年号：永乐；生卒：1362—1407。明代宫廷女性，着与正式称号相称的礼服、发饰与首饰，端庄静坐。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
fangzhenghua,方正化,内廷,司礼监太监,崇祯,？—1644,,portrait_fangzhenghua.png,为明代人物「方正化」绘制单人历史肖像。正式称号：司礼监太监；分类：内廷；活动年号：崇祯；生卒：？—1644。明代宦官，着内廷常服或礼服，神情克制，不使用戏曲化妆容。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
